Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SPD Smith,2019-2023,14,12,0,697,131,58.08,675,103.25,3,3,2,73,11
AJ Finch,2019-2020,15,15,1,630,114,45,752,83.77,2,3,2,62,14
DA Warner,2019-2023,11,11,1,579,128*,57.9,577,100.34,1,6,0,63,13
UT Khawaja,2019-2019,9,9,0,539,104,59.88,625,86.24,2,3,0,54,5
GJ Maxwell,2019-2023,15,15,2,423,63*,32.53,319,132.6,0,2,0,40,16
PSP Handscomb,2019-2019,8,8,0,387,117,48.37,402,96.26,1,3,1,27,5
M Labuschagne,2020-2023,13,11,0,387,72,35.18,433,89.37,0,3,0,34,1
AT Carey,2019-2023,20,17,4,376,55*,28.92,393,95.67,0,1,1,42,3
MR Marsh,2023-2023,6,6,1,294,96,58.8,242,121.48,0,3,1,38,15
MP Stoinis,2019-2023,13,12,2,285,52,28.5,328,86.89,0,1,2,30,4
SE Marsh,2019-2019,6,6,0,253,131,42.16,296,85.47,1,1,0,19,3
AJ Turner,2019-2020,6,5,1,142,84*,35.5,111,127.92,0,1,0,8,8
C Green,2020-2023,7,6,0,100,31,16.66,144,69.44,0,0,0,6,2
TM Head,2023-2023,3,3,1,89,51*,44.5,71,125.35,0,1,0,15,2
SA Abbott,2020-2023,6,5,0,86,54,17.2,77,111.68,0,1,1,6,6
AC Agar,2020-2023,5,4,1,81,28,27,87,93.1,0,0,0,5,1
PJ Cummins,2019-2023,14,10,4,79,21*,13.16,75,105.33,0,0,3,7,2
JP Inglis,2023-2023,3,3,0,77,45,25.66,81,95.06,0,0,0,5,3
MA Starc,2019-2023,11,7,2,52,28,10.4,75,69.33,0,0,1,3,2
JA Richardson,2019-2019,6,4,1,47,29,15.66,50,94,0,0,0,4,0
A Zampa,2019-2023,19,11,1,45,10*,4.5,82,54.87,0,0,1,3,0
NM Coulter-Nile,2019-2019,3,3,0,36,28,12,40,90,0,0,0,3,0
JR Hazlewood,2020-2023,7,4,3,32,23,32,26,123.07,0,0,0,2,2
MC Henriques,2020-2020,2,2,1,24,22,24,32,75,0,0,0,3,0
KW Richardson,2020-2020,2,1,1,24,24*,-,11,218.18,0,0,0,4,1
NM Lyon,2019-2019,5,3,3,19,12*,-,14,135.71,0,0,0,2,1
MW Short,2023-2023,2,2,0,11,9,5.5,12,91.66,0,0,0,2,0
PM Siddle,2019-2019,3,2,1,10,10*,10,12,83.33,0,0,1,1,0
JP Behrendorff,2019-2019,4,1,1,1,1*,-,1,100,0,0,0,0,0
SH Johnson,2023-2023,1,1,1,0,0*,-,0,-,0,0,0,0,0
B Stanlake,2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
NT Ellis,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
T Sangha,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
