Winner,Margin,Target,Overs,Opposition,Ground,Match Date,Scorecard
Australia,208 runs,360,33.2,v India,Sydney,8 Feb 2004,ODI # 2098
Australia,162 runs,321,37.5,v India,Nottingham,13 Jun 1983,ODI # 207
Australia,152 runs,330,46.5,v India,Adelaide,26 Jan 2000,ODI # 1548
Australia,125 runs,360,39.2,v India,Johannesburg,23 Mar 2003,ODI # 1993
India,118 runs,248,38.2,v Australia,Chelmsford,20 Jun 1983,ODI # 219
India,118 runs,300,35.5,v Australia,Indore,31 Mar 2001,ODI # 1699
Australia,110 runs,289,43.3,v India,Brisbane,19 Feb 2012,ODI # 3244
India,107 runs,209,37.5,v Australia,Perth,8 Dec 1991,ODI # 693
Australia,100 runs,293,50.0,v India,Sydney,21 Jan 1986,ODI # 354
India,99 runs,355,48.3,v Australia,Nagpur,28 Oct 2009,ODI # 2915
India,99 runs,317,28.2,v Australia,Indore,24 Sep 2023,ODI # 4654
Australia,95 runs,329,46.5,v India,Sydney,26 Mar 2015,ODI # 3645
Australia,93 runs,339,45.0,v India,Visakhapatnam,3 Apr 2001,ODI # 1700
Australia,88 runs,234,42.0,v India,Melbourne,18 Jan 1992,ODI # 709
Australia,87 runs,253,39.3,v India,Sydney,26 Feb 2012,ODI # 3250
Australia,84 runs,307,47.3,v India,Kochi,2 Oct 2007,ODI # 2623
Australia,77 runs,283,48.2,v India,The Oval,4 Jun 1999,ODI # 1473
Australia,77 runs,287,46.2,v India,Wankhede,1 Nov 2003,ODI # 2054
Australia,72 runs,305,49.4,v India,Pune,13 Oct 2013,ODI # 3419
India,66 runs,209,42.1,v Australia,Melbourne,6 Dec 1980,ODI # 97
Australia,66 runs,375,50.0,v India,Sydney,27 Nov 2020,ODI # 4265
Australia,66 runs,353,49.4,v India,Rajkot,27 Sep 2023,ODI # 4657
Australia,65 runs,217,29.4,v India,Melbourne,5 Feb 2012,ODI # 3231
Australia,61 runs,348,50.0,v India,Bengaluru,12 Nov 2003,ODI # 2061
India,60 runs,316,43.3,v Australia,Bengaluru,25 Mar 2001,ODI # 1696
Australia,58 runs,265,44.0,v India,Sharjah,19 Apr 1998,ODI # 1322
India,57 runs,384,45.1,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
India,56 runs,290,49.0,v Australia,Delhi,22 Oct 1987,ODI # 465
India,52 runs,194,43.3,v Australia,Ahmedabad,5 Oct 1986,ODI # 394
Australia,51 runs,390,50.0,v India,Sydney,29 Nov 2020,ODI # 4266
Australia,50 runs,204,41.2,v India,Adelaide,17 Feb 2008,ODI # 2680
India,50 runs,253,43.1,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
Australia,48 runs,221,40.5,v India,New Delhi,28 Sep 1984,ODI # 267
Australia,47 runs,291,47.4,v India,Hyderabad,5 Oct 2007,ODI # 2625
India,44 runs,308,48.1,v Australia,Dhaka,28 Oct 1998,ODI # 1360
India,41 runs,310,45.5,v Australia,Kochi,1 Apr 1998,ODI # 1300
Australia,41 runs,253,48.3,v India,Colombo (SSC),28 Aug 1999,ODI # 1489
India,37 runs,284,50.0,v Australia,Gwalior,26 Oct 2003,ODI # 2052
Australia,37 runs,236,41.5,v India,Eden Gardens,18 Nov 2003,ODI # 2064
Australia,36 runs,263,45.3,v India,Adelaide,26 Jan 1986,ODI # 357
India,36 runs,353,50.0,v Australia,The Oval,9 Jun 2019,ODI # 4155
India,36 runs,341,49.1,v Australia,Rajkot,17 Jan 2020,ODI # 4232
Australia,35 runs,273,50.0,v India,Delhi,13 Mar 2019,ODI # 4113
Australia,34 runs,289,50.0,v India,Sydney,12 Jan 2019,ODI # 4077
Australia,32 runs,314,48.2,v India,Ranchi,8 Mar 2019,ODI # 4109
India,31 runs,247,47.4,v Australia,Colombo (RPS),9 Sep 1994,ODI # 924
Australia,28 runs,270,50.0,v India,Melbourne,12 Jan 2000,ODI # 1539
Australia,27 runs,243,50.0,v India,Sydney,15 Jan 1981,ODI # 108
Australia,26 runs,276,46.0,v India,Sharjah,22 Apr 1998,ODI # 1325
India,26 runs,164,21.0,v Australia,Chennai,17 Sep 2017,ODI # 3910
Australia,25 runs,349,49.2,v India,Canberra,20 Jan 2016,ODI # 3726
Australia,24 runs,251,46.4,v India,Mohali,2 Nov 2009,ODI # 2919
Australia,21 runs,335,50.0,v India,Bengaluru,28 Sep 2017,ODI # 3917
Australia,21 runs,270,49.1,v India,Chennai,22 Mar 2023,ODI # 4545
India,20 runs,266,46.4,v Australia,Nairobi (Gym),7 Oct 2000,ODI # 1633
India,19 runs,304,49.4,v Australia,Brisbane,18 Jan 2004,ODI # 2084
Australia,18 runs,188,45.0,v India,Christchurch,3 Mar 1990,ODI # 613
Australia,18 runs,289,49.0,v India,Melbourne,9 Jan 2004,ODI # 2077
Australia,18 runs,214,43.5,v India,Kuala Lumpur,22 Sep 2006,ODI # 2421
Australia,18 runs,318,50.0,v India,Nagpur,14 Oct 2007,ODI # 2631
Australia,18 runs,318,49.1,v India,Sydney,24 Feb 2008,ODI # 2685
Australia,16 runs,259,48.0,v India,Wankhede,27 Feb 1996,ODI # 1065
India,13 runs,303,49.3,v Australia,Canberra,2 Dec 2020,ODI # 4267
Australia,11 runs,171,43.4,v India,Sydney,5 Feb 1986,ODI # 362
India,9 runs,259,49.4,v Australia,Brisbane,4 Mar 2008,ODI # 2689
India,8 runs,292,50.0,v Australia,Chandigarh,8 Oct 2007,ODI # 2627
India,8 runs,251,49.3,v Australia,Nagpur,5 Mar 2019,ODI # 4106
Australia,6 runs,209,50.0,v India,Sydney,20 Jan 1992,ODI # 711
India,5 runs,290,49.1,v Australia,Mohali,3 Nov 1996,ODI # 1137
Australia,4 runs,293,50.0,v India,Vadodara,25 Oct 2009,ODI # 2913
Australia,3 runs,351,49.4,v India,Hyderabad,5 Nov 2009,ODI # 2923
Australia,1 run,271,49.5,v India,Chennai,9 Oct 1987,ODI # 453
Australia,1 run,236,47.0,v India,Brisbane,1 Mar 1992,ODI # 725
